donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies,source,generation_timestamp
"Typically, in general, for the most part, challenge chaser. this strawberry blond, blue-eyed veteran thrives on challenge and change. an eagle scout, skillfully managed his first major project as a teenager, setting the stage for a life full of leadership and outdoor adventures. he juggles roles from jujitsu competitor to devoted soccer coach, all while maintaining close ties with his brothers and a passion for family traditions. his life mantra of planning for the worst but hoping for the best makes him a grounded yet adventurous spirit.",5'11 (180cm),220 lbs (100kg),Blue,Brown,,Other,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.66911
"Characteristically, vaughn. , vaughn, is a caring and genuine individual. he has hazel eyes, brown hair and a charming smile. he has a unmatched devotion to his loved ones and favors spending quality time with them. he is particularly intelligent and was a collegiate athlete. he is emotionally intelligent and is particularly easy to talk to. he has a fondness for tennis and is a natural outdoors man. vaughn is calm, level headed, and loyal to his family and friends. , vaughn, is a outstanding individual and would make a great donor for your family!",6' (183cm),174 lbs (79kg),Blue,,,Bachelor,,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.669465
"Primarily, caring military man. this donor’s proudest moment came in the military, when he was inspecting an aircraft and caught a leak one minute before takeoff, potentially saving the pilots' lives. “i’ll never forget the handshake and ‘thank you’ that i received from both of those pilots,” he says. standing 6’ tall with dimples, blue eyes, and long curly hair, speaks with confidence and authority. helping people is his life's mission; he’s active on psychology in college and hopes to become a counselor.. justin kirk michael muhney",6' (183cm),220 lbs (100kg),Blue,Light Brown,,Bachelor,"Kinesiology, Music Engineering Technology, Psychology","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.669937
"Overall, determined environmentalist",5'8 (173cm),174 lbs (79kg),Blue,Dark Blond,,Other,"Environmental Studies, Public Policy","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.670447
"AI Altruist. may be an applied mathematics major focused in AI, but he prioritizes making genuine connections with people … IRL. Driven by a sense of altruism his whole life, he looks forward to times he can use his patience and understanding to help others. This 6’4” martial artist and competitive sailor also is enthusiastic about nature. He has fond memories of his native American grandmother and holidays with his Scandinavian family. And he has lots to say about love, forgiveness, and the Seattle grunge sound.","6'1""",220 lbs (100kg),Blue,Brown,,Bachelor,"Business Administration, Mathematics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.671204
"Outward Bounder. Armed with just a map and a compass, makes his mark on history by trekking remote landscapes. Standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. He did just that when he hiked thousands of miles through national forests to reach untouched summits. Whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6' (183cm),145 lbs (66kg),Hazel,Light Brown,,Bachelor,Business Management,"American Indian or Alaska Native, Caucasian",Christian,,,synthetic,1731175358.671642
"Typically, overall, determined environmentalist",6' (183cm),145 lbs (66kg),Blue,Dark Blond,,Bachelor,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.671981
"Vaughn. , Vaughn, is a caring and genuine individual. He has hazel eyes, brown hair and a charming smile. He has a unmatched devotion to his loved ones and has a fondness for spending quality time with them. He is especially intelligent and was a collegiate athlete. He is emotionally intelligent and is especially easy to talk to. He adores tennis and is a natural outdoors man. Vaughn is calm, level headed, and loyal to his family and friends. , Vaughn, is a outstanding individual and would make a great donor for your family!",5'11 (180cm),235 lbs (107kg),,,,Master,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.672332
"In general, as a person, outward bounder. armed with just a map and a compass, makes his mark on history by trekking remote landscapes. standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. he did just that when he hiked thousands of miles through national forests to reach untouched summits. whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6' (183cm),145 lbs (66kg),Blue,Brown,,Other,Business Management,"American Indian or Alaska Native, Caucasian",Christian,,,synthetic,1731175358.672791
"Primarily, in general, characteristically, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and treasures hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",5'10 (178cm),134 lbs (61kg),Hazel,Dark Blond,,Bachelor,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.673339
"Ready for Anything. Color us impressed. Bryce, Yellowstone, Zion National Park ? this avid outdoorsman has explored eexceptionally inch of them. Need a website built, advice on the best surfing spots or help rebuilding a truck engine? He’s your guy. This wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including Native American and Ashkenazi Jewish) to cheerfully tackle virtually any challenge you can imagine. Tall, fit, fun and outgoing, he’s into composing electronic and house music.",6' (183cm),235 lbs (107kg),Brown,Dark Blond,,Master,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.673805
"Typically, caring military man. this donor’s proudest moment came in the military, when he was inspecting an aircraft and caught a leak one minute before takeoff, potentially saving the pilots' lives. “i’ll never forget the handshake and ‘thank you’ that i received from both of those pilots,” he says. standing 6’ tall with dimples, blue eyes, and long curly hair, speaks with confidence and authority. helping people is his life's mission; he’s specializing in psychology in college and hopes to become a counselor.. justin kirk michael muhney",6' (183cm),174 lbs (79kg),Blue,Brown,,Bachelor,"Kinesiology, Music Engineering Technology, Psychology","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.674274
"In general, ready for anything. color us impressed. bryce, yellowstone, zion national park ? this avid outdoorsman has explored eremarkably inch of them. need a website built, advice on the best surfing spots or help rebuilding a truck engine? he’s your guy. this wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including native american and ashkenazi jewish) to cheerfully tackle virtually any challenge you can imagine. tall, fit, fun and outgoing, he’s into composing electronic and house music.","6'1""",134 lbs (61kg),Brown,Brown,,Other,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.674707
